Filename,URL
nedlastede_filer\010_Endringsdokument_NCRP_2023-2024.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/6697bde9-b70a-42e1-9944-35c37d690dde:d42d861a57400e1baae56ab50ca692cd0ec4033d/Endringsdokument%20NCRP%202023-2024.xlsx
nedlastede_filer\010_Endringsdokument_NCSP_2023-2024.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/512cd0f3-4cca-498e-ae01-eaf26c2fa3c0:9678daf24246116ef04e82b8f7dfdbf6f7c74e1d/Endringsdokument%20NCSP%202023-2024.xlsx
nedlastede_filer\010_NKPK_kumulativt_endringsdokument_alle_prosedyrekoder_1999-2024.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/b3ce840e-e369-4b4d-813e-830436067b08:831ab8574ebb0927449c49953dd22185926e45e0/NKPK%20kumulativt%20endringsdokument%20alle%20prosedyrekoder%201999-2024.xlsx
nedlastede_filer\010_Alle_prosedyrekoder_2023.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/44820525-0536-4356-a697-a82e98bb875c:7facd9ce253b9bd5dd9d467fa8fa3e894ce74647/Alle%20prosedyrekoder%202023.xlsx
nedlastede_filer\010_Endringsdokument_NCMP_2022-2023.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/c2cdfae8-8f08-4570-a87f-f539138ecffa:fc715c37202fbfbe19143bfa6611ef5918024c47/Endringsdokument%20NCMP%202022-2023.xlsx
nedlastede_filer\010_Endringsdokument_NCRP_2022-2023.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/4c48782d-5c41-4187-9d07-89ae7ece44d1:a593a09247ee0877fad25c7daf792dbc945b1fa1/Endringsdokument%20NCRP%202022-2023.xlsx
nedlastede_filer\010_Endringsdokument_NCSP_2022-2023.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/88dd1e38-5724-4e64-9a44-1f2604b251b4:6a8d8fb03b52e11c5d7e0e313a4573a2768ed6a3/Endringsdokument%20NCSP%202022-2023.xlsx
nedlastede_filer\010_NKPK_kumulativt_endringsdokument_alle_prosedyrekoder_1999-2023.txt,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/7930d5a3-5cd1-46a6-8cb2-61154ae73f38:fffed2372f39daa236577506e993fcd8c2343f8c/NKPK%20kumulativt%20endringsdokument%20alle%20prosedyrekoder%201999-2023.xlsx
nedlastede_filer\010_Skjema_for_ønske_om_endring_i_helsefaglege_kodeverk.html,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/91536ed0-6bad-42ee-93e4-f493b90e15ce:566b9ddaccfe84af9e4bff2b18f140c1f2a615da/Skjema%20for%20%C3%B8nske%20om%20endring%20i%20helsefaglege%20kodeverk%20%28bokm%C3%A5l%29.docx
nedlastede_filer\010_Skjema_ynske_om_endring_i_helsefaglege_kodeverk.html,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-%28NKPK%29/_/attachment/inline/c4fc3f16-d231-4b22-a456-299c7834881b:9042052a02292892673a72b16b74088af4414f70/Skjema%20ynske%20om%20endring%20i%20helsefaglege%20kodeverk%20%28nynorsk%29.docx
nedlastede_filer\010_NCRP_Norsk_klassifikasjon_av_radiologiske_prosedyrer_(ehelse.html,https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-(NKPK)
nedlastede_filer\001_Målarkitektur_for_dokumentdeling.pdf,https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling
"nedlastede_filer\001_Målarkitektur_for_dokumentdeling,_se_kap_6.1_(ehelse.html",https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling
nedlastede_filer\002_Referansearkitektur_for_dokumentdeling.pdf,https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-dokumentdeling
nedlastede_filer\002_Referansearkitektur_for_dokumentdeling_(ehelse.html,https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-dokumentdeling
nedlastede_filer\003_Retningslinjer_for_logging_ved_data-_og_dokumentdeling.pdf,https://www.ehelse.no/standardisering/standarder/retningslinjer-for-logging-ved-data-og-dokumentdeling
nedlastede_filer\003_Retningslinjer_for_logging_ved_data-_og_dokumentdeling_(ehelse.html,https://www.ehelse.no/standardisering/standarder/retningslinjer-for-logging-ved-data-og-dokumentdeling
